KEY,English,Deutsch,Portugues
HullSmallBlocks,Steel Blocks S,Stahlblöcke S,Bloco de ferro
HullThinSmallBlocks,Steel Blocks S (thin),Stahlblöcke S (dünn)
AlienBug02,Alien Scorpion,Alien Skorpion
AlienBug03,Alien Bug,Alien Käfer
AlienBug04,Alien Worm,Alien Wurm
Spider01,Spider,Spinne
Spider02,Spider,Spinne
Spider03,Spider,Spinne
Triceratops,Dinosaur,Dinosaurier
TriceratopsBaby,Dinosaur Baby,Dinosaurier
WormDesertLarge,Desert Worm (large),Wüstenwurm (groß)
WormDesertLargeLeader,Desert Worm Leader (large),Wüstenwurm Anführer (groß)
WormDesertLargeGroup,Desert Worm (large),Wüstenwurm (groß)
WormDesert,Desert Worm,Wüstenwurm
WormDesertLeader,Desert Worm - Leader,Wüstenwurm - Anführer
WormDesertGroup,Desert Worm,Wüstenwurm
GolemDesert,Desert Golem,Wüstengolem
GolemSwamp,Swamp Golem,Sumpfgolem
GolemIce,Ice Golem,Eisgolem
ArmoredGolem,Armored Golem,Gepanzerter Golem
Otyugh,Otyugh,Otyugh
TotalHorror,Nightmare,Alptraum
ZiraxMale,Zirax,Zirax
ZiraxFemale,Zirax,Zirax
TalonGuardian,Talon Guardian,Talon Wächter
TalonGuardianLeader,Talon Guardian - Leader,Talon Wächter - Anführer
TalonGuardianGroup,Talon Guardian,Talon Wächter
Slime,Slime,Glibber
TurretRobot,Turret Robot,Roboter
PlantMonster,Plant Monster,Pflanzenmonster
Hexapod,Alien Insect,Alien Insekt
RaptorNight,Raptor Night,Raptor (nachtaktiv)
Raptor,Raptor,Raptor
RaptorLeader,Raptor - Leader,Raptor - Anführer
RaptorGroup,Raptor,Raptor
ParasaurLeader,Parasaur - Leader,Parasaurier - Anführer
ParasaurGroup,Parasaur,Parasaurier
ParasaurBaby,Parasaur Baby,Parasaurierbaby
AlienAssassinGrey,Alien Assassin,Alien Meuchler
Asteroid_resource01,Asteroid,Sathium Asteroid
CV_Talos_Destroyed_back,Crashed MS Titan (back part),Abgestürzte MS Titan (Heck)
CV_Talos_Destroyed_front,Crashed MS Titan (front part),Abgestürzte MS Titan (Vorderteil)
CV_Talos_Destroyed_mid,Crashed MS Titan (mid part),Abgestürzte MS Titan (Mittelteil)
CV_Titan_crashed_GC,Crashed Ship,Abgestürztes Raumschiff
CV_Titan_crashed,Crashed Ship,Abgestürztes Raumschiff
CV_Titan_crashedV2,Crashed Ship,Abgestürztes Raumschiff
CV_Hyperion_crashed,Crashed Hyperion,Abgestürzte Hyperion
CV_ISS,Research Station,Forschungsstation
BA_TransportationStation,Transportation Hub,Transport Hub
BA_Epsilon_DroneBase,Drone Base,Drohnenbasis
BA_Xenu_DroneBase,Drone Base,Drohnenbasis
BA_Rados_DroneBase,Drone Base,Drohnenbasis
BA_GhostRider_DroneBase,Drone Base,Drohnenbasis
Alien_artifact_obelisk,Alien Artifact,Alien-Artefakt
BA_AlienTower1,Alien Tower V1,Alienturm V1
BA_AlienTower2,Alien Tower V2,Alienturm V2
BA_AlienTower3,Alien Tower V3,Alienturm V3
BA_AlienTower4,Alien Tower V4,Alienturm V4
BA_HabitatBeta,Alien Base,Alienbasis
BA_PF1,Alien Base,Alienbasis
BA_PF7,Alien Base,Alienbasis
BA_OrbitalSpire,Alien Base,Alienbasis
BA_Dead8Eye-HQ,Alien Base,Alienbasis
BA_SpireSatellite,Alien Base,Alienbasis
BA_RadosPowerStation,Rados Power Station,Rados Kraftwerk
BA_RadosRefinery,Rados Refinery,Rados Raffinerie
BA_RadosFuelDepot,Rados Fuel Depot,Rados Kraftstoff Depot
BA_RadosDefenceI,Rados Defence I,Rados Verteidigung I
BA_RadosDefenceII,Rados Defence II,Rados Verteidigung II
BA_RadosDefenceIII,Rados Defence III,Rados Verteidigung III
BA_Rados_MissileSilo,Rados Missile Silo,Rados Raketensilo
BA_EpsilonDefenceI,Epsilon Defence I,Epsilon Verteidigung I
BA_EpsilonDefenceII,Epsilon Defence II,Epsilon Verteidigung II
BA_EpsilonFactory,Epsilon Factory,Epsilon Fabrik
BA_EpsilonKraftwerk,Epsilon Power Station,Epsilon Kraftwerk
BA_EpsilonDroneFactory,Epsilon Weapon Factory,Epsilon Waffenfabrik
BA_GhostRiderBaseI,Ghost Rider Base I,Ghost Rider Basis I
BA_GhostRiderBaseII,Ghost Rider Base II,Ghost Rider Basis II
BA_GhostRiderDefenceI,Ghost Rider Defence II,Ghost Rider Verteidigung I
BA_GhostRiderDefenceII,Ghost Rider Defence II,Ghost Rider Verteidigung II
BA_GhostRiderDefenceIII,Ghost Rider Defence III,Ghost Rider Verteidigung III
BA_GhostRiderDefenceIV,Ghost Rider Defence IV,Ghost Rider Verteidigung IV
BA_GhostRiderBiolab,Ghost Rider Biolab,Ghost Rider Biolabor
BA_GhostRiderHQ,Ghost Rider HQ,Ghost Rider Hauptquartier
BA_MiningComplex,Xenu Mining Complex,Xenu Minenkomplex
BA_XenuRareSupplyStation,Xenu Supply Station,Xenu Versorgungsstation
BA_XenuWalkerBase,Xenu Walker Base,Xenu Walker Basis
BA_XenuDefenceI,Xenu Defence I,Xenu Verteidigung I
BA_XenuDefenceII,Xenu Defence II,Xenu Verteidigung II
BA_XenuDefenceIII,Xenu Defence III,Xenu Verteidigung III
BA_XenuTemple,Xenu Temple,Xenu Tempel
BA_XenuColony,Xenu Colony,Xenu Kolonie
BA_XenuAdvArmory,Xenu Armory MKII,
BA_XenuAdvPowerStation,Xenu PowerStation MKII,
BA_XenuAdvRadar,Xenu Radar MKII,
BA_XenuAdvSpaceport,Xenu Spaceport MKII,
BA_XenuAdvVehiclePort,Xenu Vehicle Port MKII,
BA_XenuArmory,Xenu Armory MKI,
BA_XenuPowerStation,Xenu PowerStation MKI,
BA_XenuRadar,Xenu Radar MKI,
BA_XenuSpaceport,Xenu Spaceport MKI,
BA_XenuVehiclePort,Xenu Vehicle Port MKI,
BA_XenuFortressP1,Xenu Fortress P1,
BA_RadosAdvBase,Rados Base MKII,
BA_RadosAdvComCenter,Rados ComCenter MKII,
BA_RadosAdvOxyDepot,Rados Oxygen Depot MKII,
BA_RadosAdvSupplyStation,Rados Supply Station MKII,
BA_RadosBase,Rados Base MKI,
BA_RadosComCenter,Rados ComCenter MKI,
BA_RadosOxyDepot,Rados Oxygen Depot MKI,
BA_RadosSupplyStation,Rados Supply Station MKI,
BA_GhostAdvDronePort,Ghost Drone Port MKII,
BA_GhostAdvPowerStation,Ghost Power Station MKII,
BA_GhostAdvStealth,Ghost Stealth MKII,
BA_GhostAdvSupport,Ghost Support MKII,
BA_GhostDronePort,Ghost Drone Port MKI,
BA_GhostPowerStation,Ghost Power Station MKI,
BA_GhostStealth,Ghost Stealth MKI,
BA_GhostSupport,Ghost Support MKI,
BA_EpsilonAdvComCenter,Epsilon ComCenter MKII,
BA_EpsilonAdvFortress,Epsilon Fortress MKII,
BA_EpsilonAdvOutpost,Epsilon Outpost MKII,
BA_EpsilonAdvSpaceport,Epsilon Spaceport MKII,
BA_EpsilonComCenter,Epsilon ComCenter MKI,
BA_EpsilonFortress,Epsilon Fortress MKI,
BA_EpsilonOutpost,Epsilon Outpost MKI,
BA_EpsilonSpaceport,Epsilon Spaceport MKI,
BA_Unknown-Artifact,Unknown Artifact,
BA_Unknown-Structure,Unknown Structure,
BA_TalonGuardianTempel,Talon Guardian Temple,
BA_TalonGuardianVillage,Talon Guardian Village,
BA_AbandonedMine,Abandoned Mine,
BA_AbandonedFactory,Abandoned Factory,
Mass,Mass,Masse
Hardness,Armor,Panzerung
HitPoints,Hit Points,Hit Points
UnlockCost,Unlock Cost,Freischaltkosten
UnlockLevel,Unlock Level,Freischaltlevel
EnergyIn,Energy In,Energieverbrauch
EnergyOut,Energy Out,Energieabgabe
ThrusterForce,Force,Schubkraft
AmmoCapacity,Magazine Capacity,Magazingröße
AmmoType,Ammo,Munition
ReloadDelay,Reload Time (s),Nachladezeit (s)
Damage,Damage,Schaden
RotSpeed,Rotation Speed (d/s),Rotationsgeschw. (g/s)
ExplosionRadius,Explosion Radius,Explosionsradius
FoodValue,Food,Nahrungswert
HealthValue,Health,Gesundheitswert
StaminaValue,Stamina,Ausdauerwert
OxygenValue,Oxygen,Sauerstoffwert
Range,Range (m),Reichweite (m)
DmgMultiplierHead,Dmg Multi Head,Kopfschussfaktor
ROF,Rate of Fire,Feuerrate
Effect,Effect,Effekt
EffectiveAgainst,Effective Against,Hilft gegen
Armor,Armor,Panzerung
SizeInBlocks,"Size (W,H,D)","Größe (B,H,T)"
Place,Placement,Platzierung
FlyDirBottom,Flight Direction (Bottom),Flugrichtung (unten)
FlyDirTop,Flight Direction (Top),Flugrichtung (oben)
FlyDir,Flight Direction,Flugrichtung
"OpenWound,PoisonFood","Open Wound, Food Poisoning","Offene Wunde, Lebensmittelvergiftung"
"OpenWound,PoisonFood,PoisonBit","Open Wound, Food Poisoning, Bites","Offene Wunde, Lebensmittelvergiftung, Giftbiss"
PoisonBit,Poisonous Bite,Giftbiss
OpenWound,Open Wound,Offene Wunde
"Parasite1,Parasite2,Parasite3",Alien Parasite,Alien-Parasit
GrowthTimeInfo,Growth Time (min),Wachstumszeit (min)
FoodDecayTime,Perish Time,Verfallszeit
O2Value,O2 Value,O2 Gehalt
FuelValue,Fuel Value,Brennstoffgehalt
AllowPlacingAt,Placeable,Platzierbar auf
RepairPerSecond,Repair per Second,Reparatur pro Sekunde
Repairs,Repair limited to,Reparatur limitiert auf
ItemsPerHour,Ores per Hour,Erze pro Stunde
ItemStorageLimit,Storage Limit,Speichervolumen
MS,CV,GR
SS,SV,KR
GV,HV,BG
Base,BA,BA
Terrain,T,T
"Base,MS","CV,BA","GR,BA"
"MS,SS","CV,SV","GR,KR"
"SS,GV","SV,HV","KR,BG"
"Base,MS,Terrain","BA,CV,T","BA,GR,T"
"Base,MS,GV","BA,CV,HV","BA,GR,BG"
"Base,MS,SS,GV","BA,CV,SV,HV","BA,GR,KR,BG"
"MS,SS,GV","CV,SV,HV","GR,KR,BG"
bkiAlienBlock,"This block / device is alien. By placing it, you will not be able to spawn your structure in a Survival game.","Dies ist ein Alien Block / Gerät. Wenn du diesen platzierst, wirst du deine Struktur nicht mehr in einem Survival Spiel spawnen können."
bkiAmmo,Ammunition used for reloading a weapon. Please refer to the corresponding weapon for more information.,Munition um eine Waffe nachzuladen. Für genauere Informationen siehe die zugehörige Waffe.
bkiAmmoHoming,Ammunition used for reloading a weapon with homing capabilities. Please refer to the corresponding weapon for more information.,Munition (Lenkflugkörper) um eine Waffe nachzuladen. Für genauere Informationen siehe die zugehörige Waffe.
bkiIngredient,Intermediate product used as an ingredient for processing into a more complex product. See templates for exact use.,Zwischenprodukt das als Bestandteil für ein komplexeres Endprodukt dient. Für mehr Information siehe Vorlagen (Templates).
bkiIngredientConsumable,Intermediate product used as an ingredient for processing into a more complex product. See templates for exact use. Can also be consumed with LMB from toolbar or from Inventory with Shift+RMB.,Zwischenprodukt das als Bestandteil für ein komplexeres Endprodukt dient. Für mehr Information siehe Vorlagen (Templates). Kann auch konsumiert werden via LMB aus Schnellzugriff und via Shirt+RMB aus Inventar.
bkiComponent,Intermediate product used as a component for processing into a more complex product. See templates for exact use.,Zwischenprodukt das als Komponente für ein komplexeres Endprodukt dient. Für mehr Information siehe Vorlagen (Templates).
bkiConsumable,Consumable: Use with LMB from toolbar or from Inventory with Shift+RMB.,Verbrauchsgegenstand: Benutzung aus Schnellzugriff via LMB und aus Inventar via Shirt+RMB.
bkiCurrency,"To convert into credits, place it into the ATM deposit slot. ",Verwende die ATM Maschine um den Betrag auf dein Konto gutzuschreiben.
bkiWarpDriveTank,Crystals used for warp jump. Fill warp drive tank with these crystals to power your warp drive.,Benötigt zum Betrieb des Warpantriebs. Fülle Warpantrieb Treibstofftank mit diesen Kristallen.
bkiGenNoFunction,This device is not functional yet,Dieses Gerät hat noch keine Funktion
bkiOfflineProtect,Placing this device in a structure yields offline protection on PvP playfields.,Schützt Strukturen im PvP wenn der Besitzer offline ist
bkiOxygenTank,Device used for storing oxygen bottles. Required for oxygen station to fill up suit oxygen,Benötigt zum Betrieb von O2 Stationen. Fülle mit O2 Flaschen um Anzugsauerstoff an O2 Stationen auffüllen zu können.
bkiCloneChamber,Sets spawn point,Setzt einen Startpunkt
bkiMedicinelabMS,Restores health and sets spawn point,Heilt dich und bestimmt einen Startpunkt
bkiGyroscope,Required on every vessel for turning,Drehmomenteinheit (RCS)
bkiGyroscopeGV,Required on every vessel for turning. Required to execute emergency flip (Left Shift) if upside down,Drehmomenteinheit (RCS). Wird benötigt um Notdrehung (Links Shift) zu vollführen
bkiOxygenStation,Device used for replenishing your suit oxygen. Requires oxygen tank filled with oxygen bottles to operate,Wird zum Auffüllen des Anzugsauerstoffes benötigt. Benötigt O2 Tank mit O2 Flaschen
bkiLightPlant,Required for growing plants. Max illumination range: 2 blocks,Reichweite: 2 Blocks
bkiBandages,Restores around 80 health. Use with LMB from toolbar or from Inventory with Shift+RMB.,Stellt ungefähr 80 Gesundheit her. Benutzung aus Schnellzugriff via LMB und aus Inventar via Shirt+RMB.
bkiMedikit02,Restores around 120 health. Use with LMB from toolbar or from Inventory with Shift+RMB.,Stellt ungefähr 120 Gesundheit her. Benutzung aus Schnellzugriff via LMB und aus Inventar via Shirt+RMB.
bkiMedikit03,Restores around 300 health. Use with LMB from toolbar or from Inventory with Shift+RMB.,Stellt ungefähr 300 Gesundheit her. Benutzung aus Schnellzugriff via LMB und aus Inventar via Shirt+RMB.
bkiAdrenalineShot,Stamina boost during 100 seconds. Use with LMB from toolbar or from Inventory with Shift+RMB.,Ausdauerschub während 100 Sekunden. Benutzung aus Schnellzugriff via LMB und aus Inventar via Shirt+RMB.
bkiEnergyPills,Stamina boost during 300 seconds. Some side effects and slight chance of bad trip. Use with LMB from toolbar or from Inventory with Shift+RMB.,"Ausdauerschub während 300 Sekunden, leichte Chance auf einen Bad Trip. Benutzung aus Schnellzugriff via LMB und aus Inventar via Shirt+RMB."
bkiDrill,"Tool used for drilling holes into terrain. Drill Strong (LMB), Drill Weak (RMB)","Bohrer: stark (linke MT), schwach (rechte MT)"
bkiDrillT2,"Tool used for drilling holes into terrain. Drill Strong (LMB), Drill Weak (RMB). Automatic pickup of ores.","Bohrer: stark (linke MT), schwach (rechte MT). Automatisches Aufsammeln von Erzen"
bkiMultiTool,"Tool used for removing (LMB), repairing (RMB) and upgrading blocks (Shift+RMB)","Block zerlegen (LMT), reparieren (RMT) und aufwerten (Shift+RMB)"
bkiFillertool,Tool used for filling up terrain (LMB) or flattening terrain (RMB),"Terrain auffüllen (LMT), einebnen (RMT)"
bkiTextureTool,Tool used for texturing building blocks. Add to toolbar and apply texture with LMB. Open texture selection menu with RMB.,In Schnellzugriff legen und mit LMT Texture anwenden. Mit RMT kann Texturauswahlmenu geöffnet werden.
bkiColorTool,Tool used for coloring building blocks. Add to toolbar and apply color with LMB. Open color selection menu with RMB.,In Schnellzugriff legen und mit LMT Farbe anwenden. Mit RMT kann  Farbauswahlmenu geöffnet werden.
bkiAmmoFullLoad,One charge fills up whole magazine,Eine Ladung füllt das gesamte Magazin
bkiRotateBlocks,"Tool used for changing transparency of some windows (LMB) and rotation of building blocks & small devices of size 1x1 (Insert, Del, Home and End).","Werkzeug um Transparenz von gewissen Fenstern (LMB) und Rotation von Baublöcken sowie kleinen Geräten der Grösse 1x1 (Einfg, Entf, Pos1 und Ende) zu ändern."
bkiOxygenBottleSmall,Emergency O2 bottle. Add to toolbar and use with LMB or use directly from Inventory with Shift+RMB.,Notfall-Sauerstoff: In Schnellzugriff legen und benutzen (LMT) oder aus Inventar mit Shift+RMB benutzen.
bkiSpawnNewBase,Starter block for your base (BA). Add to toolbar and place with LMB,Dies ist der Start-Block für eine Basis. In Schnellzugriff legen und mit LMT platzieren
bkiSpawnNewSV,Starter block for your small vessel (SV). Add to toolbar and place with LMB,Dies ist der Start-Block für ein kleines Raumschiff (KR). In Schnellzugriff legen und mit LMT platzieren
bkiSpawnNewCV,Starter block for your capital vessel (CV). Add to toolbar and place with LMB,Dies ist der Start-Block für ein großes Raumschiff (GR). In Schnellzugriff legen und mit LMT platzieren
bkiSpawnNewGV,Starter block for your hover vessel (HV). Add to toolbar and place with LMB,Dies ist der Start-Block für einen Bodengleiter (BG). In Schnellzugriff legen und mit LMT platzieren
bkiFuelTank,Device used for storing fuel packs. Required for power generator,Gerät für den Einsatz von Kraftstoffzellen. Benötigt für Stromgenerator
bkiConstructorSmall,"Device used for crafting. Limited number of templates available, slow crafting speed",Gerät für die Produktion. Nur beschränkte Zahl an Vorlagen. Langsame Geschwindigkeit
bkiConstructorLarge,"Device used for crafting. Almost full range of templates available, normal crafting speed",Gerät für die Produktion. Fast alle Vorlagen. Normale Geschwindigkeit
bkiConstructorAdvanced,"Device used for crafting. Full range of templates available, fast crafting speed.",Gerät für die Produktion. Alle Vorlagen. Schnelle Produktion.
bkiConstructorSurvival,"Device used for crafting. Very limited number of templates available, very slow crafting speed.",Gerät für die Produktion. Sehr eingeschränkte Zahl an Vorlagen. Sehr langsame Geschwindigkeit
bkiFoodProcessor,Device used for food preparation and other organic processing,Gerät zur Verarbeitung von Nahrungsmitteln und anderen organischen Stoffen
bkiPassengerSeat,Device used for carrying passengers with you,Erlaubt den Transport von Passagieren
bkiCockpit,Required on every vessel for piloting,Wird in jedem Fahrzeug zur Steuerung benötigt
bkiContainerAmmo,Container that stores ammo for your mounted weapons,Behälter für die Aufbewahrung von Munition für Geschütze und Türme
bkiContainer,Basic storage container,Standard Lagerbehälter
bkiGravityGenerator,Generates an artificial gravity field in space,Erzeugt ein künstliches Gravitationsfeld im Weltraum
bkiTurretSpace,Auto aiming or manual turret and only functional in space.,Automatisch oder manuell zu bedienendes Turmgeschütz. Funktioniert nur im Weltraum
bkiTurret,Auto aiming or manual turret. Range given for space. On planets range is lower and depends on atmosphere density,"Automatisch oder manuell zu bedienendes Turmgeschütz. Reichweitenangabe für Weltraum.  Reichweite  innerhalb der Atmosphäre geringer, je nach deren Dichte"
bkiNotAutomaticDoor,This is a non-automatic door that opens only manually.,Dies ist einen nicht-automatische Tür die sich nur manuell öffnen lässt.
bkiBlockGroup,This block represents a group of blocks. Add to toolbar and press RMB to unfold group,Dieser Block repräsentiert eine ganze Blockgruppe. In Schnellzugriff legen und mit RMT Gruppe ausklappen
bkiHull,"Standard, colourable building block",Kolorierbarer Standard Konstruktionsblock
bkiTruss,Light building block,Leichter Stahl-Konstruktionsblock
bkiWallBlock,Thin interior building block,Flacher Innenraum Konstruktionsblock
bkiWallCorner,L-shaped interior building block,L-förmiger Innenraum Konstruktionsblock
bkiLandinggear,Device used for docking your Small or Hover Vessels to Capital Vessels,Gerät zum andocken eines kleinen Raumschiffs oder Bodengleiters an ein großes Raumschiff
bkiLandinggearSV,Device used for docking your Small Vessels to Capital Vessels,Gerät zum Andocken eines kleinen Raumschiffs an ein großes Raumschiff
bkiGenerator,Device used for generating power. Requires fuel tank filled with fuel packs to operate,Gerät zur Stromerzeugung. Benötigt Kraftstofftanks gefüllt mit Kraftstoffzellen um zu funktionieren
bkiFridge,Device used for storing food. When powered stops food from perishing,Gerät zum Lagern von verderblichen Nahrungsmitteln. Stoppt Verfallszeit
bkiWeaponShipSpace,Attachable to your vessel but only functional in space.,"Kann an einem Schiff angebracht werden, funktioniert aber nur im Weltraum"
bkiWeaponShip,Attachable to your vessel. Range given for space. On planets range is lower and depends on atmosphere density,"Kann an einem Schiff angebracht werden.  Reichweitenangabe für Weltraum.  Reichweite  innerhalb der Atmosphäre geringer, je nach deren Dichte"
bkiWeaponHandheld,Range given for space. On planets range is lower and depends on atmosphere density,"Reichweitenangabe für Weltraum. Reichweite innerhalb der Atmosphäre geringer, je nach deren Dichte"
bkiExplosives,Add to toolbar and press LMB to attach to a surface - it will explodes after 8 seconds,In Schnellzugriff legen und mit LMT an ein Oberfläche anbringen - explodiert nach 8 Sekunden
bkiEpicWeapon,This is an epic weapon that can only be found and not be crafted.,Dies ist eine epische Waffe die nur gefunden und nicht selbst hergestellt werden kann.
bkiInteriorBlock,Interior hull block,Innenraum Konstruktionsblock
bkiThruster,Main thruster unit for main propulsion,Haupttriebwerk für Hauptantriebsschub
bkiThrusterDirectional,Smaller thruster unit for secondary propulsion,Kleineres Triebwerk für Zusatzschub
bkiHoverEngine,Hover engine applies local force to maintain HV in air. Place several engines to ensure that HV is in equilibrium. Take into account weight distribution on HV.,
bkiHoverBooster,This device applies a short but strong force to allow your HV to perform a jump.,
bkiGrowingPot,Required for growing plants together with illumination of grow light,Benötigt um Pflanzen zu züchten. Muss mit Pflanzenlicht beschienen werden
bkiOxygenGenerator,Converts H2O into oxygen bottles. Must be deployed in water,Erzeugt O2 Flaschen aus H2O. Muss im Wasser platziert werden
bkiOxygenGeneratorSmall,Extracts oxygen from the atmosphere to generate small oxygen bottles.,Extrahiert Sauerstoff aus der Atmosphere und erzeugt daraus kleine O2 Flaschen.
bkiOxygenHydrogenGenerator,Converts H2O into oxygen and hydrogen bottles. Must be deployed in water,Erzeugt aus H2O sowohl O2 Flaschen als auch Wasserstoff-Flaschen. Muss im Wasser platziert werden
bkiSpotlight,Strong light source for external illumination,Starke Lichtquelle für die Außenbeleuchtung
bkiArtificialmass,Artificial Mass adds additional weight and is used to balance the Center of Mass of the vessel for improved flight and hover behavior.,Block fügt extra Gewicht hinzu und kann verwendet werden um den Masseschwerpunkt deines Schiffs für verbesserte Flug- u Hovereigenschaften anzupassen.
bkiCore,Central processing unit required on every structure. When destroyed structure is not controllable anymore,Zentrale Prozessoreinheit. Wird für jede Struktur benötigt. Bei Verlust ist die Struktur nicht mehr kontrollierbar
bkiLightWork,Device used for external illumination,Gerät für die Außenbeleuchtung
bkiWaterGenerator,Creates purified water from natural water sources. Must be deployed in water,Erzeugt gereinigtes Wasser aus natürlichen Wasserquellen. Muss im Wasser platziert werden
bkiDecoBlock,Decorational building block,Dekor Block
bkiDecoModel,Decorational device,Dekor Gerät
bkiAlienPlantSprout,The delicate sprout of the alien plant will not grow anymore on terrain. You need highly fertile growing plot,Der zarte Keim  der Alienpflanze wächst nicht auf normalem Boden. Es wird ein Pflanzenbeet benötigt
bkiPlantSprout,This delicate sprout will not grow on terrain. You need highly fertile growing plot,Dieser zarte Keim wächst nicht auf normalem Boden. Es wird ein Pflanzenbeet benötigt
bkiWindowNoShutterSemiTrans,Basic window without shutter. Semi-transparent from inside and outside,Normales Fenster. Halbtransparent von innen und außen.
bkiWindowShutterTrans,Basic window with shutter. Fully transparent from inside and outside,Normales Fenster mit Jalousie. Vollständig transparent von beiden Seiten
bkiWindowShutterNonTrans,"Basic window with shutter. Fully transparent from inside, non-transparent from outside","Normales Fenster mit Jalousie. Vollständig transparent von innen, lichtundurchlässig von außen"
igmRemoveBlockFromMap,{0} is gone. Removing it from map,{0} ist verschwunden. Wird von der Karte entfernt
igmItemAccessSingle,Press '{0}' to pick up {1},Drücke '{0}' um {1} aufzuheben
igmItemAccessMany,Press '{0}' to pick up {2}x {1},Drücke '{0}' um {2}x {1} aufzuheben
igmContainerAccess,Press '{{0}}' to access {0},Drücke '{{0}}' um {0} zu öffnen
igmEntityAccess,Press '{0}' to access {1},Drücke '{0}' um {1} zu öffnen
igmBlockPickup,Press '{{0}}' to pick up {0},Drücke '{{0}}' um {0} aufzuheben
igmBlockAccess,Press '{{0}}' to access {0},Drücke '{{0}}' um {0} zuzugreifen
igmOpenDoor,Press '{{0}}' to open {0},Drücke '{{0}}' um {0} zu öffnen
igmCloseDoor,Press '{{0}}' to close {0},Drücke '{{0}}' um {0} zu schliessen
igmPickupPlantSingle,Press '{{0}}' to pick up {0},Drücke '{{0}}' um {0} aufzunehmen
igmPickupPlantMany,Press '{{0}}' to pick up {1}x {0},Drücke '{{0}}' um {1}x {0} aufzunehmen
igmCannotDigHere,You cannot dig here,Du kannst hier nicht graben
igmScrShot,Screenshot '{0}' saved,Screenshot '{0}' gespeichert
igmPassSeatNotActive,Passenger seat not activated,Passagierkabine nicht aktiviert
igmPlayerDroneDistance,You are losing contact to your drone,Du verlierst den Kontakt zu deiner Drone
igmPlayerDroneLost,Contact lost to your drone,Kontakt zu deiner Drone verloren
igmBlockCountExceeded,Cannot place {0} as only {1} allowed! Currently placed: {2},Kann {0} nicht setzen da nur {1} erlaubt sind! Aktuell platziert: {2}
igmO2NeedsWater,Place it into the water,Platziere ihn ins Wasser
igmWrongCode,Wrong code,Falscher Code
igmEnterCode,Enter code:,Code eingeben:
igmPressToEnterCode,Press '{0}' to enter lock code,Drücke '{0}' um den Code einzugeben
igmFindAnAtm,Find an ATM to transfer the money to your account,Finde einen Bankautomaten um das Geld auf dein Konto zu überweisen
SvrPlayerExits,Name conflict: Name '{0}' already exists - Please change your name.,Namenskonflikt: Name '{0}' ist bereits vorhanden - Bitte ändere deinen Namen.
SvrAccessNoWhitelist,Access denied: Not on whitelist of server.,Zugriff verweigert: Nicht auf Whitelist des Servers.
SvrBannedPlayer,Ban of player '{0}' until {1}: {2}.,Ban des Spielers '{0}' bis {1}: {2}.
SvrCannotConnect,You cannot connect to the server: {0},Du kannst dich nicht zum Server verbinden:Â {0}
SvrCannotConnectHeader,You cannot connect to the server:,Du kannst dich nicht zum Server verbinden:
SvrInputError,Input error: Unrecognized input '{0}' from client {1},Eingabefehler: Nicht erkannte Eingabe '{0}' von Client {1}
SvrVersionMismatch,Version conflict: Server '{1}' - you '{0}'.,Versionskonflikt: Server '{1}' - Du '{0}'.
SvrMaxPlayers,Player limit: Max player count of {0} reached.,Spielerlimit: Max. Spielerzahl von {0} erreicht.
SvrActivationError,Activation error: Please activate your account '{0}'.,Aktivierungsfehler: Bitte aktiviere deinen Account '{0}'.
SvrNameConflict,Name conflict: Name '{0}' already exists - Please change your name.,Namenskonflikt: Name '{0}' ist bereits vorhanden - Bitte ändere deinen Namen.
SvrWorldNotFound,{0} is not available on this server.,{0} ist auf diesem Server nicht verfügbar.
tutHintsActivated,"In-game hints are activated. To de-activate them, go into Misc under Options",Die Spielhinweise sind aktiv. Man kann sie in Optionen / Divers deaktivieren
tutPDA,Press '{0}' to access the PDA with its tutorials and FAQs,Drücke '{0}' um den PDA mit seinen Tutorials und Hilfetexten zu öffnen
tutAtmoBreathable,"If the atmosphere is breathable, you can take off your helmet and save oxygen, press '{0}'","Wenn die Atmosphäre atembar ist, nimm deinen Helm mit '{0}' ab, um Sauerstoff zu sparen"
tutSwimFreeHand,For swimming you must have your hands free. Otherwise you will sink to the ground,"Halte beim Schwimmen nichts in der Hand, sonst sinkst du auf den Grund"
tutJetpackJump,Use your jetpack for higher jumps on planets.,"Benutze den Jetpack ('{0}'), um auf Planeten höher zu springen."
lpsUseSpotlights,Use spotlights to explore during night,Benutze Scheinwerfer für nächtliche Erkundungen
lpsBeWellPrepared,Be well prepared for the next adventure,Bereite dich gut auf das nächste Abenteuer vor
lpsFindGoodSpot,Find a good spot for your base,Suche einen guten Platz fuer deine Basis
lpsAsteroidsSathium,Asteroids provide you with Sathium ore,Asteroiden liefern dir Sathium-Erz
lpsNonHostileCreatures,Not all creatures are hostile,Nicht alle Kreaturen sind feindlich
lpsOverseers,Alien bugs can spread dangerous diseases,Alien Käfer verbreiten gefährliche Krankheiten
lpsEdiblePlants,Find out which plants are edible,"Finde heraus, welche Pflanzen essbar sind"
lpsArachnids,Beware of dangerous Arachnids on desert planets,Vorsicht vor gefährlichen Arachniden auf Wüstenplaneten
lpsBaseOnMountain,A base high up in the mountains can be better defended,Eine Basis auf einem Berg kann besser verteidigt werden
lpsZascosiumOnLava,The rare Erestrum ore can be found on lava planets,Das seltene Erestrum findet man auf Lavaplaneten
