"String Identifier","English (United States)","Chinese Simplified",French,German,"Portuguese (Brazil)",Spanish,"String Description"
bkiTurretSpace,"Auto aiming or manual turret and only functional in space.",,"Tourelle automatique ou manuelle, espace uniquement","Automatisch oder manuell zu bedienendes Turmgeschütz. Funktioniert nur im Weltraum","Auto aiming or manual turret and only functional in space.","Torreta de apuntado automático o manual, solo funcional en el espacio.",
bkiTurret,"Auto aiming or manual turret. Range given for space. On planets range is lower and depends on atmosphere density",,"Tourelle automatique ou manuelle. Portée calculée pour l'espace, plus courte sur les planètes, selon la densité atmosphérique.","Automatisch oder manuell zu bedienendes Turmgeschütz. Reichweitenangabe für Weltraum. Reichweite innerhalb der Atmosphäre geringer, je nach deren Dichte",,"Torreta de apuntado automático o manual. El rango indicado es para el espacio. En planetas, el rango es menor y depende de la densidad de la atmósfera",
bkiNotAutomaticDoor,"This is a non-automatic door that opens only manually.",,"Porte manuelle","Dies ist einen nicht-automatische Tür die sich nur manuell öffnen lässt.","This is a non-automatic door that opens only manually.","Se trata de una puerta no automática que se abre manualmente.",
bkiBlockGroup,"This block represents a group of blocks. Add to toolbar and press RMB to unfold group",,"Ce bloc représente un ensemble de blocs, ajoutez-le à la barre d'outils et cliquez BSD pour afficher ses composants.","Dieser Block repräsentiert eine ganze Blockgruppe. In Schnellzugriff legen und mit RMT Gruppe ausklappen","This block represents a group of blocks. Add to toolbar and press RMB to unfold group","Este bloque representa un grupo de bloques. Añadir a la barra de herramientas y presione BDR para desplegar el grupo",
bkiHull,"Standard, colourable building block",,"Bloc de construction standard, peut être coloré.","Kolorierbarer Standard Konstruktionsblock",,"Bloque de construcción estándar, coloreable",
bkiTruss,"Light building block",,"Bloc de construction léger","Leichter Stahl-Konstruktionsblock","Bloco de luz","Bloque de construcción ligero",
bkiWallBlock,"Thin interior building block",,"Bloc de construction intérieur mince","Flacher Innenraum Konstruktionsblock","Thin interior building block","Bloque de construcción interior delgado",
bkiWallCorner,"L-shaped interior building block",,"Bloc de construction d'intérieur en L","L-förmiger Innenraum Konstruktionsblock","L-shaped interior building block","Bloque de construcción interior en forma de L",
bkiLandinggearHV,"Device used for docking your Hover Vessels to Capital Vessels",悬浮载具停靠主力舰的设备,"Système de fixation qui permet d'amarrer un planeur sur un vaisseau mère.","Gerät zum andocken eines Bodengleiters an ein großes Raumschiff",,"Dispositivo utilizado para el acoplamiento de los Deslizadores a las Naves Capitales",
bkiLandinggear,"Device used for docking your Small or Hover Vessels to Capital Vessels",,"Système pour amarrer votre PV ou Pl à votre VM","Gerät zum andocken eines kleinen Raumschiffs oder Bodengleiters an ein großes Raumschiff","Device used for docking your Small or Hover Vessels to Capital Vessels","Dispositivo utilizado para el acoplamiento de las Naves Pequeñas a las Naves Capitales",
bkiLandinggearSV,"Device used for docking your Small Vessels to Capital Vessels",,"Système pour amarrer votre VL à votre VM","Gerät zum Andocken eines kleinen Raumschiffs an ein großes Raumschiff","Device used for docking your Small Vessels to Capital Vessels","Dispositivo utilizado para acoplar sus naves pequeñas a naves capitales",
bkiGenerator,"Device used for generating power. Requires fuel tank filled with fuel packs to operate",,"Groupe électrogène. Nécessite un réservoir de fuel et du combustible pour fonctionner.","Gerät zur Stromerzeugung. Benötigt Kraftstofftanks gefüllt mit Kraftstoffzellen um zu funktionieren","Device used for generating power. Requires fuel tank filled with fuel packs to operate","Dispositivo utilizado para generar energía. Requiere que el tanque de combustible contenga cargas de combustible para operar",
bkiFridge,"Device used for storing food. When powered stops food from perishing","该装置用来保存食物. 停电时,食物会正常腐烂.","Système de stockage de la nourriture. Il empêche la nourriture de sa gâter si alimenté en courant.","Gerät zum Lagern von verderblichen Nahrungsmitteln. Stoppt Verfallszeit","Device used for storing food. When powered stops food from perishing","Dispositivo utilizado para almacenar alimentos. Impide que la comida perezca, mientras haya energía para que funcione",
bkiWeaponShipSpace,"Attachable to your vessel but only functional in space.","可装在你的船上,但只能在宇宙空间中有效","Peut être monté sur un vaisseau, mais fonctionne uniquement dans l'espace.","Kann an einem Schiff angebracht werden, funktioniert aber nur im Weltraum",,"Se puede colocar en su nave pero solo es funcional en el espacio.",
bkiWeaponShip,"Attachable to your vessel. Range given for space. On planets range is lower and depends on atmosphere density","可以装在你的船上. 最大有效射程为在宇宙中的射击数据. 在行星上射程会因大气密度影响受到不同程度的降低.","Peut être monté sur un vaisseau. Portée calculée pour l'espace, plus courte sur les planètes, selon la densité atmosphérique.","Kann an einem Schiff angebracht werden.  Reichweitenangabe für Weltraum.  Reichweite  innerhalb der Atmosphäre geringer, je nach deren Dichte",,"Se puede colocar en su nave. El rango indicado es para el espacio. En los planetas, el rango baja dependiendo de la densidad atmosférica",
bkiWeaponHandheld,"Range given for space. On planets range is lower and depends on atmosphere density","最大有效射程为在宇宙中的射击数据. 在行星上射程会因大气密度影响受到不同程度的降低."," Portée calculée pour l'espace, plus courte sur les planètes, selon la densité atmosphérique.","Reichweitenangabe für Weltraum. Reichweite innerhalb der Atmosphäre geringer, je nach deren Dichte",,"El rango indicado es para el espacio. En los planetas, el rango baja dependiendo de la densidad atmosférica.",
bkiExplosives,"Add to toolbar and press LMB to attach to a surface - it will explode after 8 seconds","将物品装备到工具栏中,选中并通过鼠标左键安装到物体表面-它将会在8秒后爆炸.","Ajoutez l'explosif à la barre d'outils, appuyez sur BSG pour l'attacher sur une surface, l'explosion aura lieu 8 secondes plus tard.","In Schnellzugriff legen und mit LMT an ein Oberfläche anbringen - explodiert nach 8 Sekunden","Adicione à barra de itens e pressione BEM para fixar na superfície - irá explodir depois de 8 segundos","Añadir a la barra de herramientas y presione BIR para poner en alguna superficie. El explosivo detonará después de 8 segundos",
bkiEpicWeapon,"This is an epic weapon that can only be found and not be crafted.","这是一个史诗级武器,由于技术已经遗失,你无法制造它.","Les armes épiques ne peuvent pas être fabriqués.","Dies ist eine epische Waffe die nur gefunden und nicht selbst hergestellt werden kann.","This is an epic weapon that can only be found and not be crafted.","Esta es un arma épica, que sólo se puede encontrar y no puede ser elaborada.",
bkiInteriorBlock,"Interior hull block",船体内部块,"Bloc de coque interne","Innenraum Konstruktionsblock","Bloco de casco interior","Bloque de casco interior",
bkiThruster,"Main thruster unit for main propulsion",主推进器为船只提供主要动力.,"Propulseur principal","Haupttriebwerk für Hauptantriebsschub","Turbina principal para propulsão","Propulsor principal. Unidad para la propulsión principal de la nave/vehículo",
bkiThrusterDirectional,"Smaller thruster unit for secondary propulsion",小推进器为船只提供辅助动力.,"Petit propulseur secondaire","Kleineres Triebwerk für Zusatzschub","Smaller thruster unit for secondary propulsion","Unidad pequeña de propulsión, para una propulsión secundaria",
bkiHoverEngine,"Hover engine applies local force to maintain HV in air. Place several engines to ensure that HV is in equilibrium. Take into account weight distribution on HV.","悬浮引擎提供局部动力使你的HV悬浮在空气中. 安装几个引擎以确保船只平衡 .也要考虑到船只的重量分布.以防老司机翻车.","Moteur pour vol plané qui garde un vaisseau planeur (Pl) en l'air. Plusieurs moteurs sont nécessaires pour équilibrer le vaisseau, selon la distribution des masses.","Der Luftkissenmotor sorgt dafür, dass das LK in der Luft bleibt. Platziere mehrere Motoren um dafür zu sorgen, dass es im Gleichgewicht bleibt. Beachte hier auch die Gewichtsverteilung in deinem LK. ","Hover engine applies local force to maintain HV in air. Place several engines to ensure that HV is in equilibrium. Take into account weight distribution on HV.","El Motor aplica fuerza local para mantener el Deslizador en el aire. Coloque varios motores para asegurar que el Deslizador esté en equilibrio. Tener en cuenta la distribución de peso en el mismo.",
bkiHoverBooster,"This device applies a short but strong force to allow your HV to perform a jump.","这个装置为你的HV 提供短时间的强劲推力,从而使你HV 在星球上获得跃起能力.","Ce système applique une courte mais forte poussée verticale à votre planeur.","Dieses Gerät sorgt für einen kurzen aber kräftigen Schub, der es deinem LK erlaubt einen Sprung durchzuführen.","This device applies a short but strong force to allow your HV to perform a jump.","Este dispositivo aplica una fuerza corta pero fuerte para permitir que su Deslizador realice un salto.",
bkiGrowingPot,"Required for growing plants together with illumination of grow light",植物生长所需的生长光线.,"Nécessaire pour faire pousser des plantes, couplé aux lampes horticoles.","Benötigt um Pflanzen zu züchten. Muss mit Pflanzenlicht beschienen werden","Required for growing plants together with illumination of grow light","Requerido para el cultivo de plantas, junto con las luces especiales para cultivos.",
bkiOxygenGenerator,"Converts H2O into oxygen bottles. Must be deployed in water",将水转换成瓶装氧气.该装置必须放置在水中.,"Extrait l'oxygène de l'eau, doit être placé dans l'eau.","Erzeugt O2 Flaschen aus H2O. Muss im Wasser platziert werden","Converts H2O into oxygen bottles. Must be deployed in water","Convierte H2O en botellas de oxígeno. Debe ser desplegado en agua.",
bkiOxygenGeneratorSmall,"Extracts oxygen from the atmosphere to generate small oxygen bottles.",提取大气中的氧气并制成小型瓶装氧气,"Extrait  l'oxygène de l'atmosphère et produit des petites bouteilles d'oxygène.","Extrahiert Sauerstoff aus der Atmosphere und erzeugt daraus kleine O2 Flaschen.","Extracts oxygen from the atmosphere to generate small oxygen bottles.","Extrae oxígeno de la atmósfera para generar pequeñas botellas de oxígeno.",
bkiOxygenHydrogenGenerator,"Converts H2O into oxygen and hydrogen bottles. Must be deployed in water",将水分离成瓶装氧气和瓶装氢气.该装置必须放置在水中.,"Extrait l'hydrogène de l'eau, doit être placé dans l'eau.","Erzeugt aus H2O sowohl O2 Flaschen als auch Wasserstoff-Flaschen. Muss im Wasser platziert werden","Converts H2O into oxygen and hydrogen bottles. Must be deployed in water","Convierte H2O en botellas de oxígeno y de hidrógeno. Debe ser desplegado en agua.",
bkiSpotlight,"Strong light source for external illumination",强烈的外部照明光源,"Forte source de lumière extérieure.","Starke Lichtquelle für die Außenbeleuchtung","Strong light source for external illumination","Potente fuente de luz para iluminación externa",
bkiArtificialmass,"Artificial Mass adds additional weight and is used to balance the Center of Mass of the vessel for improved flight and hover behavior.",提供人工质量和额外的重量并且用于平衡船只的中央质量，从而提高飞行或者悬浮姿态.,"La masse artificielle sert à équilibrer le centre de masse d'un vaisseau et améliorer sa stabilité en vol.","Block fügt extra Gewicht hinzu und kann verwendet werden um den Masseschwerpunkt deines Schiffs für verbesserte Flug- u Hovereigenschaften anzupassen.","Artificial Mass adds additional weight and is used to balance the Center of Mass of the vessel for improved flight and hover behavior.","La Masa Artificial añade un peso adicional y se utiliza para equilibrar el Centro de Masa del buque para mejorar el vuelo y el comportamiento de vuelo.",
bkiCore,"Central processing unit required on every structure. When destroyed structure is not controllable anymore","核心：所有建筑/飞船必须的中央主控装置. 当该装置被摧毁, 一切都玩完了！","Le processeur principal est indispensable pour toute structure. Lorsqu'il est détruit, la structure n'est plus contrôlable.","Zentrale Prozessoreinheit. Wird für jede Struktur benötigt. Bei Verlust ist die Struktur nicht mehr kontrollierbar","Central processing unit required on every structure. When destroyed structure is not controllable anymore","Unidad de procesamiento central requerida en cada estructura. Cuando es destruída, la estructura ya no es controlable",
bkiLightWork,"Device used for external illumination",该装置用于提供外部光源,"Système d'illumination externe.","Gerät für die Außenbeleuchtung","Dispositivo utilizado para iluminação externa.","Dispositivo utilizado para iluminación de exteriores",
bkiWaterGenerator,"Creates purified water from natural water sources. Must be deployed in water",将环境水体净化为纯净水.该装置必须放置在水中.,"Extrait et purife l'eau d'une source naturelle. Doit être installé dans l'eau.","Erzeugt gereinigtes Wasser aus natürlichen Wasserquellen. Muss im Wasser platziert werden","Cria água purificada de fontes de água natural. Deve ser instalado na água.","Crea agua purificada de fuentes naturales de agua. Debe ser desplegado en agua",
bkiDecoBlock,"Decorational building block",家居建筑块,"Bloc de construction décoratif","Dekor Block","Bloco de construção decorativo","Bloque de construcción decorativo",
bkiDecoModel,"Decorational device",家居装置,"Appareil décoratif","Dekor Gerät","Dispositivo de decoração","Dispositivo decorativo",
bkiAlienPlantSprout,"The delicate sprout of the alien plant will not grow anymore on terrain. You need highly fertile growing plot","该外星植物幼苗无法直接种在土地上. 你需要繁育圃(种植块)才可以种植.","Cette pousse de plante alien ne pourra plus se développer en pleine terre, elle a besoin d'un plot horticole","Der zarte Keim  der Alienpflanze wächst nicht auf normalem Boden. Es wird ein Pflanzenbeet benötigt","The delicate sprout of the alien plant will not grow anymore on terrain. You need highly fertile growing plot","El delicado brote de la planta alienígena no crecerá más en el terreno. Necesita una maceta muy fértil",
bkiPlantSprout,"This delicate sprout will not grow on terrain. You need highly fertile growing plot","该幼苗无法直接种在土地上. 你需要繁育圃(种植块)才可以种植.","Cette pousse de plante alien ne pourra plus se développer en pleine terre, elle a besoin d'un plot horticole","Dieser zarte Keim wächst nicht auf normalem Boden. Es wird ein Pflanzenbeet benötigt","This delicate sprout will not grow on terrain. You need highly fertile growing plot","Este brote delicado no crecerá en el terreno. Necesita una maceta muy fértil",
bkiWindowNoShutterSemiTrans,"Basic window without shutter. Semi-transparent from inside and outside",不带百叶窗的窗户.从内测看外侧是半透明的.,"Simple fenêtre à volet, semi-transparente de l'intérieur ainsi que de l'extérieur","Normales Fenster. Halbtransparent von innen und außen.","Basic window without shutter. Semi-transparent from inside and outside","Ventana básica sin obturador. Semi-transparente desde el interior y el exterior",
bkiWindowShutterTrans,"Basic window with shutter. Fully transparent from inside and outside","带百叶窗的窗户,内/外侧看都是透明的.","Simple fenêtre à volet, transparente de l'intérieur ainsi que de l'extérieur","Normales Fenster mit Jalousie. Vollständig transparent von beiden Seiten","Basic window with shutter. Fully transparent from inside and outside","Ventana básica con esclusa. Totalmente transparente desde el interior y el exterior",
bkiWindowShutterNonTrans,"Basic window with shutter. Fully transparent from inside, non-transparent from outside","带百叶窗的窗户, 外侧看不到内侧.","Fenêtre basique avec volets. Transparente de l'intérieur, opaque de l'extérieur.","Normales Fenster mit Jalousie. Vollständig transparent von innen, lichtundurchlässig von außen",,"Ventana básica con obturador. Totalmente transparente desde el interior, no transparente desde el exterior",
igmRemoveBlockFromMap,"{0} is gone. Removing it from map","{0} 已消失. 正从地图中移除.","{0} est parti. Il est retiré de la carte.","{0} ist verschwunden. Wird von der Karte entfernt","{0} is gone. Removing it from map","{0} se ha ido. Eliminarla del mapa",
igmItemAccessSingle,"Press '{0}' to pick up {1}","按 '{0}' 捡起 {1}","Appuyez sur '{0}' pour ramasser {1}","Drücke '{0}' um {1} aufzuheben","Press '{0}' to pick up {1}","Pulse '{0}' para recoger {1}",
igmItemAccessMany,"Press '{0}' to pick up {2}x {1}","按 '{0}' 捡起 {2}x {1}","Appuyez sur '{0}' pour ramasser {2}x {1}","Drücke '{0}' um {2}x {1} aufzuheben","Pressione '{0}' para pegar {2}x {1}","Presiona '{0}' para recoger {2} x {1}",
igmContainerAccess,"Press '{{0}}' to access {0}","按 '{{0}}' 访问 {0}","Appuyez sur '{{0}}' pour accèder à {0}","Drücke '{{0}}' um {0} zu öffnen","Pressione '{{0}}' para acessar {0}","Pulse '{{0}}' para acceder a {0}",
igmEntityAccess,"Press '{0}' to access {1}","按 '{0}' 访问 {1}","Appuyez sur '{0}' pour accèder à {1}","Drücke '{0}' um {1} zu öffnen","Pressione '{0}' para acessar {1}","Pulse '{0}' para acceder a {1}",
igmBlockPickup,"Press '{{0}}' to pick up {0}","按 '{{0}}' 捡起 {0}","Appuyez sur '{{0}}' pour ramasser {0}","Drücke '{{0}}' um {0} aufzuheben","Pressione '{{0}}' para pegar {0}","Presiona '{{0}}' para recoger {0}",
igmBlockAccess,"Press '{{0}}' to access {0}","按 '{{0}}' 访问 {0}","Appuyez sur '{{0}}' pour accéder à {0}","Drücke '{{0}}' um auf {0} zuzugreifen","Pressione '{{0}}' para acessar {0}","Pulse '{{0}}' para acceder a {0}",
igmOpenDoor,"Press '{{0}}' to open {0}","按 '{{0}}'打开 {0}","Appuyez sur '{{0}}' pour ouvrir {0}","Drücke '{{0}}' um {0} zu öffnen","Pressione '{{0}}' para abrir {0}","Pulse '{{0}}' para abrir {0}",
igmCloseDoor,"Press '{{0}}' to close {0}","按 '{{0}}' 关闭 {0}","Appuyez sur '{{0}}' pour fermer {0}","Drücke '{{0}}' um {0} zu schliessen","Pressione '{{0}}' para fechar {0}","Pulse '{{0}}' para cerrar {0}",
igmPickupPlantSingle,"Press '{{0}}' to pick up {0}","按 '{{0}}' 捡起 {0}","Appuyez sur '{{0}}' pour ramasser {0}","Drücke '{{0}}' um {0} aufzunehmen","Pressione '{{0}}' para pegar {0}","Presiona '{{0}}' para recoger {0}",
igmPickupPlantMany,"Press '{{0}}' to pick up {1}x {0}","按 '{{0}}' 捡起 {1}x {0}","Appuyez sur '{{0}}' pour ramasser {1}x {0}","Drücke '{{0}}' um {1}x {0} aufzunehmen","Pressione '{{0}}' para pegar {1}x {0} ","Presiona '{{0}}' para recoger {1} x {0}",
igmCannotDigHere,"You cannot dig here",你不能在这里挖掘,"Vous ne pouvez pas creuser ici","Du kannst hier nicht graben","Você não pode cavar aqui","No puedes buscar aquí",
igmScrShot,"Screenshot '{0}' saved","截屏 '{0}' 以保存","Capture d'écran '{0}' enregistrée","Screenshot '{0}' gespeichert","Imagem '{0}' salva","Captura de pantalla '{0}' guardada",
igmPassSeatNotActive,"Passenger seat not activated",乘客座位没有激活,"Siège passager inactif","Passagierkabine nicht aktiviert","Banco de passageiro inativo","Asiento del pasajero no activado",
igmPlayerDroneDistance,"You are losing contact to your drone",无人机连接正在丢失,"Vous perdez la connexion avec le drone","Du verlierst den Kontakt zu deiner Drone","Você está perdendo contato com seu drone","Estás perdiendo el contacto con tu drone",
igmPlayerDroneLost,"Contact lost to your drone",无人机连接已丢失,"Connexion avec le drone perdue","Kontakt zu deiner Drone verloren","Você perdeu contato com seu drone","Contacto perdido con su drone",
igmBlockCountExceeded,"Cannot place {0} as only {1} allowed! Currently placed: {2}","不能放置 {0} 因为只允许放{1}! 当前放置: {2}","Impossible de placer {0} car uniquement {1} est/sont permis! Déjà placé(s) {2}","Kann {0} nicht setzen da nur {1} erlaubt sind! Aktuell platziert: {2}","Impossível colocar {0} pois somente {1} blocos é permitido! Atualmente possui {2}.","¡No se puede colocar {0} como solo {1}! En la actualidad: {2}",
igmO2NeedsWater,"Place it into the water",将它放置在水中,"A placer dans l'eau","Platziere ihn ins Wasser","Coloque na água","Ponlo en el agua",
igmWrongCode,"Wrong code",错误代码,"Code incorrect","Falscher Code","Código errado","Codigo erroneo",
igmEnterCode,"Enter code:",输入代码,"Tapez le code:","Code eingeben:","Entre o código","Introduzca el código:",
igmPressToEnterCode,"Press '{0}' to enter lock code","按 '{0}' 输入密码","Appuyez sur '{0}' pour saisir un code de verrouillage","Drücke '{0}' um den Code einzugeben","Aperte '{0}' para digitar o código","Pulse '{0}' para introducir el código de bloqueo",
igmFindAnAtm,"Find an ATM to transfer the money to your account",找个ATM机，把钱存到你账上吧,"Trouvez un guichet automatique pour transférer l'argent sur votre compte","Finde einen Bankautomaten um das Geld auf dein Konto zu überweisen","Encontre um caixa eletrônico para transferir dinheiro","Encuentre un cajero automático para transferir el dinero a su cuenta",
SvrPlayerExits,"Name conflict: Name '{0}' already exists - Please change your name.","名字冲突： 名字'{0}' 已经存在-再换个狂霸炫酷拽名字吧！","Doublon : le nom '{0}' existe déjà - modifiez-le","Namenskonflikt: Name '{0}' ist bereits vorhanden - Bitte ändere deinen Namen.","Conflito de nome: '{0}' ja existe - Altere seu nome","Nombre de conflicto: El nombre '{0}' ya existe - Por favor, cambie su nombre.",
SvrAccessNoWhitelist,"Access denied: Not on whitelist of server.","拒绝进入: 骚年, 你不在白名单上!","Accès interdit - vous n'êtes pas sur la liste blanche.","Zugriff verweigert: Nicht auf Whitelist des Servers.","Acesso negado: Não está na lista branca. ","Acceso denegado: No en la lista blanca del servidor.",
SvrBannedPlayer,"Ban of player '{0}' until {1}: {2}.","Ban掉玩家 '{0}' 直到 {1}: {2}.","Joueur '{0}' banni jusqu'à {1}: {2}.","Ban des Spielers '{0}' bis {1}: {2}.","Jogado '{0}' banido até {1}: {2}.","Prohibición del jugador '{0}' hasta {1}: {2}.",
SvrCannotConnect,"You cannot connect to the server: {0}","你未能链接到服务器: {0}","Vous ne pouvez pas vous connecter au serveur : {0}","Du kannst dich nicht zum Server verbinden:Â {0}","Você não consegue conectar-se ao servidor: {0}","No se puede conectar al servidor: {0}",
SvrCannotConnectHeader,"You cannot connect to the server:",你未能接到服务器:,"Vous ne pouvez pas vous connecter au serveur :","Du kannst dich nicht zum Server verbinden:","You cannot connect to the server: ","No puede conectarse al servidor:",
SvrInputError,"Input error: Unrecognized input '{0}' from client {1}","输入错误: 客户端{1}的输入 '{0}'无法识别","Input erroné : '{0}' non reconnu depuis le client {1}","Eingabefehler: Nicht erkannte Eingabe '{0}' von Client {1}","Erro de entrada: input '{0}' não conhecido pelo cliente {1}","Error de entrada: entrada no reconocida '{0}' del cliente {1}",
SvrVersionMismatch,"Version conflict: Server '{1}' - you '{0}'.","版本冲突: 服务器 '{1}'- 你'{0}'.","Conflit de version : serveur '{1}' - vous '{0}'.","Versionskonflikt: Server '{1}' - Du '{0}'.","Conflito de versão: servidor '{1}' e você está na '{0}'.","Conflicto de versiones: Servidor '{1}' - usted '{0}'.",
SvrMaxPlayers,"Player limit: Max player count of {0} reached.","玩家数量限制:已经达到最大玩家数{0} ","Nombre de joueurs maximal atteint - {0}","Spielerlimit: Max. Spielerzahl von {0} erreicht.","Limite de jogadores {0} alcançado.","Límite de jugador: Se ha alcanzado la cantidad máxima de jugadores de {0}.",
SvrActivationError,"Activation error: Please activate your account '{0}'.","激活错误: 请激活你的账号 '{0}'.","Vous devez activer votre compte '{0}'.","Aktivierungsfehler: Bitte aktiviere deinen Account '{0}'.",,"Error de activación: active su cuenta '{0}'.",
SvrNameConflict,"Name conflict: Name '{0}' already exists - Please change your name.","名字冲突： 名字'{0}' 已经存在-再换个狂霸炫酷拽名字吧！","Doublon : le nam '{0}' existe déjà - changez-le","Namenskonflikt: Name '{0}' ist bereits vorhanden - Bitte ändere deinen Namen.","Conflito de nome: '{0}' ja existe - Altere seu nome","Nombre de conflicto: El nombre '{0}' ya existe - Por favor, cambie su nombre.",
SvrWorldNotFound,"{0} is not available on this server.","{0} 在本服务器中不存在","{0} n'est pas disponible sur ce serveur.","{0} ist auf diesem Server nicht verfügbar.","{0} is not available on this server.","{0} no está disponible en este servidor.",
tutHintsActivated,"In-game hints are activated. To de-activate them, go into Misc under Options","在游戏中提示是激活的.如果要关闭提示,你需要去'选项'的杂项中关闭.","Astuces activées, pour les désactiver allez dans Options -> Misc","Die Spielhinweise sind aktiv. Man kann sie in Optionen / Divers deaktivieren",,"Las pistas en el juego están activadas. Para desactivarlas, ve a Opciones y luego a Varios",
tutPDA,"Press '{0}' to access the PDA with its tutorials and FAQs",按'{0}'可以访问你的PDA以读取游戏教程和常见问题,"Appuyez sur '{0}' pour accèder au PDA, au tutoriaux et à la FAQ","Drücke '{0}' um den PDA mit seinen Tutorials und Hilfetexten zu öffnen","Press '{0}' to access the PDA with its tutorials and FAQs","Pulse '{0}' para acceder a la PDA con sus tutoriales y preguntas más frecuentes",
tutAtmoBreathable,"If the atmosphere is breathable, you can take off your helmet and save oxygen, press '{0}'","如果大气可供呼吸,你可以取下头盔以节省宇航服中的氧气, 按'{0}'","Si l'atmosphère est respirable, vous pouvez enlever le casque et économiser l'oxygène. Appuyez sur '{0}'.","Wenn die Atmosphäre atembar ist, nimm deinen Helm mit '{0}' ab, um Sauerstoff zu sparen",,"Si la atmósfera es transpirable, puedes quitarte el casco y ahorrar oxígeno, pulsa '{0}'",
tutSwimFreeHand,"For swimming you must have your hands free. Otherwise you will sink to the ground",游泳时你必须用双手，不然你会一沉到底,"Pour nager vous devez avoir les mains libres, autrement vous allez couler au fond.","Halte beim Schwimmen nichts in der Hand, sonst sinkst du auf den Grund",,"Para la natación debe tener sus manos libres. De lo contrario, se hundirá",
tutJetpackJump,"Use your jetpack for higher jumps on planets.",使用你的喷气背包可以在星球上跳的更高,"Utilisez votre propulseur autonome pour faire des saut plus hauts sur les planètes.","Benutze den Jetpack ('{0}'), um auf Planeten höher zu springen.",,"Utilice su jetpack para saltos más altos en los planetas.",
lpsUseSpotlights,"Use spotlights to explore during night",在晚上可以使用聚光灯来探索,"Utilisez les projecteurs pour explorer pendant la nuit","Benutze Scheinwerfer für nächtliche Erkundungen","Use spotlights to explore during night","Use focos para explorar durante la noche",
lpsBeWellPrepared,"Be well prepared for the next adventure",准备好下一次冒险,"Soyez prêts pour la prochaine aventure","Bereite dich gut auf das nächste Abenteuer vor","Be well prepared for the next adventure","Estar bien preparado para la próxima aventura",
lpsFindGoodSpot,"Find a good spot for your base",为你的基地找个好位置,"Trouvez l'endroit idéal pour votre base","Suche einen guten Platz fuer deine Basis","Find a good spot for your base","Encuentra un buen lugar para tu base",
lpsAsteroidsSathium,"Be careful when you traverse an asteroid field","在小行星带,你可以采集到Sathium矿","Soyez prudent en traversant un champ d'astéroïdes.","Sei vorsichtig wenn du ein Asteroidenfeld durchquerst","Tome cuidado ao atravessar um campo de asteróides","Tenga cuidado cuando atraviese un campo de asteroides",
lpsNonHostileCreatures,"Not all creatures are hostile",并不是所有的生物都是敌对的,"Toutes les créatures ne sont pas hostiles","Nicht alle Kreaturen sind feindlich","Not all creatures are hostile","No todas las criaturas son hostiles",
lpsOverseers,"Alien bugs can spread dangerous diseases",外星昆虫可以传播危险的疾病,"Les punaises alien transmettent des maladies mortelles","Alien Käfer verbreiten gefährliche Krankheiten","Alien bugs can spread dangerous diseases","Los bichos alienígenas pueden propagar enfermedades peligrosas",
lpsEdiblePlants,"Find out which plants are edible",找出可以食用的植物,"Trouvez quelles plantes sont comestibles.","Finde heraus, welche Pflanzen essbar sind",,"Averigüe qué plantas son comestibles",
lpsArachnids,"Beware of dangerous Arachnids on desert planets",在沙漠星球上生存要小心危险的蛛型生物,"Attention aux arachnidés qui peuplent les planètes désertiques","Vorsicht vor gefährlichen Arachniden auf Wüstenplaneten","Beware of dangerous Arachnids on desert planets","Guárdese de arácnidos peligrosos en planetas deserticos",
lpsBaseOnMountain,"Watch out for outposts that can contain useful equipment",把基地修建在山上会更容易防御,"Vous trouverez des objets bien utiles dans les avant-postes","Halte die Augen nach Aussenposten offen um an nützliche Ausrüstungzu gelangen","Procure por postos avançados que podem conter equipamentos úteis","Tenga cuidado con los puestos avanzados que pueden contener equipos útiles",
lpsZascosiumOnLava,"The rare Erestrum ore can be found on lava planets",稀有的Erestrum矿石可以在熔岩星球上被找到,"Le Erestrum se trouve uniquement sur les planètes magmatiques","Das seltene Erestrum findet man auf Lavaplaneten","The rare Erestrum ore can be found on lava planets","El raro mineral de Erestrum se puede encontrar en planetas de lava",
lpsErestrumOnIce,"Ice planets are the home of the dangerous Ice Golems",钕矿石通常可以在冰冻星球上被找到,"Les planètes glacés hébergent des dangereux Golems de glace.","Eisplaneten sind die Heimat der gefährlichen Eisgolems","Planetas gelados são a casa de perigosos Golens de Gelo","Los planetas de hielo son el hogar de los peligrosos Golems de hielo",
lpsOxygenSupply,"Always be sure to have enough oxygen supply",确保你有足够的氧气供给,"Emportez avec vous suffisamment d'oxygène.","Sorge immer für genügend Sauerstoffvorrat","Assegure-se de sempre ter suprimentos de oxigênio suficiente","Siempre asegúrese de tener suficiente suministro de oxígeno",
lpsBaseInWater,"A base in the water makes oxygen production easier",把基地建在水中会更容易获得氧气.,"Construire une base les pieds dans l'eau permet de produire de l'oxygène plus facilement","Eine Basis im Wasser erleichtert die Sauerstoffversorgung","A base in the water makes oxygen production easier","Una base en el agua facilita la producción de oxígeno",
